Hash,FileName,slavePid
59bbe4e5d5127575aa1a7a88e0898d40,./app,3606
96877ed5bbeec94df24206f7eddf77d7,./app.c,3607
a4d2a36ca26b2318d795e3dd1d606e47,./lib.c,3608
9870cdc816f87888252a1017b9de7c7e,./Makefile,3605
d41d8cd98f00b204e9800998ecf8427e,./results.csv,3607
25e3d4e15f4bcc24bcb3bea2eedd8858,./shmADT.h,3605
939b35e7ed94f0b32b98942fa3d92db1,./lib.h,3606
bcf55dda946a47bdf818bb7a5cfc5fc2,./shmADT.c,3608
f8817fe8e99f2ac48eb1746f245740d1,./slave,3607
4dafbef918429e0bd2bf1e574b0bbe70,./view,3606
41de8f2ac6d79e624f4b60a465c66bcc,./slave.c,3605
f8377d4c674ec95aae8c3b28daddbc88,./view.c,3608
